date,pond,wf,jeff,spot,newt,at,gf
4/6/2017,1,0,0,0,0,0,0
4/6/2017,2,0,0,0,0,0,0
4/6/2017,3,0,0,0,0,0,0
4/6/2017,4,0,0,0,0,0,0
4/6/2017,5,0,0,0,0,0,0
4/6/2017,6,0,0,0,0,0,0
4/6/2017,7,0,0,0,0,0,0
4/6/2017,9,1,4,0,0,0,0
4/6/2017,10,0,7,0,0,0,0
4/6/2017,11,0,0,0,0,0,0
4/6/2017,18,0,0,0,0,0,0
4/6/2017,19,0,0,0,0,0,0
4/6/2017,20,0,0,0,0,0,0
4/6/2017,21,0,0,0,0,0,0
4/7/2017,1,0,0,0,0,0,0
4/7/2017,2,0,3,0,0,0,0
4/7/2017,3,1,0,0,0,0,0
4/7/2017,4,0,0,0,0,0,0
4/7/2017,5,0,0,0,0,0,0
4/7/2017,6,1,0,0,0,0,0
4/7/2017,7,0,1,0,0,0,0
4/7/2017,9,0,3,0,0,0,0
4/7/2017,10,1,5,0,0,0,0
4/7/2017,11,0,7,0,0,0,0
4/7/2017,18,1,2,0,0,0,0
4/7/2017,19,0,2,0,1,0,0
4/7/2017,20,0,4,0,0,0,0
4/7/2017,21,1,0,0,0,0,0
4/8/2017,1,0,0,0,0,0,0
4/8/2017,2,0,0,0,0,0,0
4/8/2017,3,0,0,0,0,0,0
4/8/2017,4,0,0,0,0,0,0
4/8/2017,5,0,0,0,0,0,0
4/8/2017,6,0,0,0,0,0,0
4/8/2017,7,0,0,0,0,0,0
4/8/2017,9,0,0,0,0,0,0
4/8/2017,10,0,0,0,0,0,0
4/8/2017,11,0,0,0,0,0,0
4/8/2017,18,0,0,0,0,0,0
4/8/2017,19,0,0,0,0,0,0
4/8/2017,20,0,0,0,0,0,0
4/8/2017,21,0,0,0,0,0,0
4/9/2017,1,0,0,0,0,0,0
4/9/2017,2,0,0,0,0,0,0
4/9/2017,3,0,0,0,0,0,0
4/9/2017,4,0,0,0,0,0,0
4/9/2017,5,0,0,0,0,0,0
4/9/2017,6,0,0,0,0,0,0
4/9/2017,7,0,0,0,0,0,0
4/9/2017,9,0,0,0,0,0,0
4/9/2017,10,0,0,0,0,0,0
4/9/2017,11,0,0,0,0,0,0
4/9/2017,18,0,0,0,0,0,0
4/9/2017,19,0,0,0,0,0,0
4/9/2017,20,0,0,0,0,0,0
4/9/2017,21,0,0,0,0,0,0
4/10/2017,1,0,0,0,0,0,0
4/10/2017,2,0,0,0,0,0,0
4/10/2017,3,1,0,0,0,0,0
4/10/2017,4,0,0,0,0,0,0
4/10/2017,5,0,0,0,0,0,0
4/10/2017,6,0,0,0,0,0,0
4/10/2017,7,0,0,0,0,0,0
4/10/2017,9,0,0,0,0,0,0
4/10/2017,10,26,1,0,0,0,0
4/10/2017,11,1,2,0,0,0,0
4/10/2017,18,0,1,0,0,0,0
4/10/2017,19,11,0,0,0,0,0
4/10/2017,20,4,1,0,0,0,0
4/10/2017,21,29,0,0,1,0,0
4/11/2017,1,14,0,0,0,0,0
4/11/2017,2,0,0,0,0,0,0
4/11/2017,3,1,1,0,0,0,0
4/11/2017,4,0,0,0,0,0,0
4/11/2017,5,0,0,0,0,0,0
4/11/2017,6,0,1,0,1,0,0
4/11/2017,7,0,0,0,0,0,0
4/11/2017,9,2,3,3,0,0,0
4/11/2017,10,7,1,0,0,0,0
4/11/2017,11,0,5,0,0,0,0
4/11/2017,18,3,3,1,0,0,0
4/11/2017,19,12,1,0,0,0,0
4/11/2017,20,7,1,0,2,0,0
4/11/2017,21,7,0,1,1,0,0
4/12/2017,1,7,0,2,0,0,0
4/12/2017,2,0,1,0,0,0,0
4/12/2017,3,0,0,8,0,,
4/12/2017,4,1,3,0,0,0,0
4/12/2017,5,0,1,1,0,0,0
4/12/2017,6,1,0,2,0,0,1
4/12/2017,7,0,0,0,0,0,0
4/12/2017,9,0,0,15,0,0,0
4/12/2017,10,2,10,15,0,0,0
4/12/2017,11,0,3,4,0,0,0
4/12/2017,18,0,9,13,5,0,0
4/12/2017,19,2,8,37,2,0,0
4/12/2017,20,0,1,4,4,0,0
4/12/2017,21,6,1,19,1,0,1
4/13/2017,1,0,0,0,0,0,0
4/13/2017,2,0,0,0,0,0,0
4/13/2017,3,0,0,4,0,0,0
4/13/2017,4,0,0,0,0,0,0
4/13/2017,5,0,0,0,0,0,0
4/13/2017,6,1,0,0,0,0,0
4/13/2017,7,0,0,0,0,0,0
4/13/2017,9,0,1,0,0,0,0
4/13/2017,10,0,3,0,1,0,0
4/13/2017,11,0,0,0,1,0,0
4/13/2017,18,0,2,1,1,0,0
4/13/2017,19,1,0,2,5,0,0
4/13/2017,20,0,0,4,2,0,0
4/13/2017,21,0,1,1,1,0,0
4/14/2017,1,0,0,0,0,0,0
4/14/2017,2,0,0,0,0,0,0
4/14/2017,3,0,0,0,0,0,0
4/14/2017,4,0,0,0,0,0,0
4/14/2017,5,0,0,0,0,0,0
4/14/2017,6,0,0,0,0,0,0
4/14/2017,7,0,0,0,0,0,0
4/14/2017,9,0,0,0,0,0,0
4/14/2017,10,0,0,0,1,0,0
4/14/2017,11,0,0,0,0,0,0
4/14/2017,18,0,0,0,1,0,0
4/14/2017,19,0,0,2,2,0,0
4/14/2017,20,0,0,2,0,0,0
4/14/2017,21,2,1,0,0,0,0
4/15/2017,1,0,0,0,0,0,0
4/15/2017,2,0,0,0,0,0,0
4/15/2017,3,0,0,0,0,0,0
4/15/2017,4,0,0,0,0,0,0
4/15/2017,5,0,0,0,0,0,0
4/15/2017,6,0,0,0,0,0,0
4/15/2017,7,0,0,0,0,0,0
4/15/2017,9,0,0,0,0,0,0
4/15/2017,10,0,0,0,0,0,0
4/15/2017,11,0,0,0,0,0,0
4/15/2017,18,0,0,0,0,0,0
4/15/2017,19,0,0,0,0,0,0
4/15/2017,20,0,0,1,0,0,0
4/15/2017,21,0,0,0,0,0,0
4/16/2017,1,0,1,4,0,0,0
4/16/2017,2,0,0,2,0,0,0
4/16/2017,3,0,1,12,0,1,0
4/16/2017,4,0,3,2,0,1,0
4/16/2017,5,0,0,1,0,0,0
4/16/2017,6,0,0,6,0,0,1
4/16/2017,7,0,1,2,0,0,0
4/16/2017,9,0,5,8,0,1,0
4/16/2017,10,0,3,9,1,0,0
4/16/2017,11,1,3,8,0,0,0
4/16/2017,18,2,3,44,3,0,0
4/16/2017,19,1,2,58,6,0,0
4/16/2017,20,2,1,24,2,0,0
4/16/2017,21,1,2,44,1,0,0
4/17/2017,1,0,0,2,0,1,0
4/17/2017,2,0,0,3,0,0,0
4/17/2017,3,0,1,4,0,1,0
4/17/2017,4,0,1,2,0,1,0
4/17/2017,5,0,0,0,0,0,0
4/17/2017,6,0,0,10,0,0,0
4/17/2017,7,0,0,2,0,0,0
4/17/2017,9,0,3,8,0,0,0
4/17/2017,10,0,0,4,0,0,0
4/17/2017,11,0,2,0,0,0,0
4/17/2017,18,0,2,18,1,0,0
4/17/2017,19,0,1,40,0,0,0
4/17/2017,20,2,0,8,0,0,0
4/17/2017,21,0,0,33,0,0,1
4/18/2017,1,0,0,0,0,0,0
4/18/2017,2,0,0,0,0,0,0
4/18/2017,3,0,0,0,0,0,0
4/18/2017,4,0,0,0,0,0,0
4/18/2017,5,0,0,0,0,0,0
4/18/2017,6,0,1,0,0,0,0
4/18/2017,7,0,0,0,0,0,0
4/18/2017,9,0,0,0,0,0,0
4/18/2017,10,0,0,0,0,0,0
4/18/2017,11,0,0,0,0,0,0
4/18/2017,18,0,0,1,0,0,0
4/18/2017,19,0,0,2,0,0,0
4/18/2017,20,0,0,0,0,0,0
4/18/2017,21,2,0,1,0,0,0
4/21/2017,1,0,0,0,0,0,0
4/21/2017,2,0,0,0,0,0,0
4/21/2017,3,0,0,0,0,0,0
