date,pond,wf,jeff,spot,newt
3/19/2016,1,0,0,0,0
3/19/2016,2,0,0,0,0
3/19/2016,3,0,0,0,0
3/19/2016,4,0,0,0,0
3/19/2016,5,0,0,0,0
3/19/2016,6,0,0,0,0
3/19/2016,7,0,0,0,0
3/19/2016,8,0,0,0,0
3/19/2016,9,0,0,0,0
3/19/2016,10,0,0,0,0
3/19/2016,11,0,0,0,0
3/19/2016,18,0,0,0,0
3/19/2016,19,0,0,0,0
3/19/2016,20,0,0,0,0
3/19/2016,21,0,0,0,0
3/20/2016,1,0,0,0,0
3/20/2016,2,0,0,0,0
3/20/2016,3,0,0,0,0
3/20/2016,4,0,0,0,0
3/20/2016,5,0,0,0,0
3/20/2016,6,0,0,0,0
3/20/2016,7,0,0,0,0
3/20/2016,8,0,0,0,0
3/20/2016,9,0,0,0,0
3/20/2016,10,0,0,0,0
3/20/2016,11,0,0,0,0
3/20/2016,18,0,0,0,0
3/20/2016,19,0,0,0,0
3/20/2016,20,0,0,0,0
3/20/2016,21,0,0,0,0
3/21/2016,1,0,0,0,0
3/21/2016,2,0,0,0,0
3/21/2016,3,0,0,0,0
3/21/2016,4,0,0,0,0
3/21/2016,5,0,0,0,0
3/21/2016,6,0,0,0,0
3/21/2016,7,0,0,0,0
3/21/2016,8,0,0,0,0
3/21/2016,9,0,0,0,0
3/21/2016,10,0,0,0,0
3/21/2016,11,0,0,0,0
3/21/2016,18,0,0,0,0
3/21/2016,19,0,0,0,0
3/21/2016,20,0,0,0,0
3/21/2016,21,0,0,0,0
3/22/2016,1,0,0,0,0
3/22/2016,2,0,0,0,0
3/22/2016,3,0,0,0,0
3/22/2016,4,0,0,0,0
3/22/2016,5,0,0,0,0
3/22/2016,6,0,0,0,0
3/22/2016,7,0,0,0,0
3/22/2016,8,0,0,0,0
3/22/2016,9,0,0,0,0
3/22/2016,10,0,0,0,0
3/22/2016,11,0,0,0,0
3/22/2016,18,0,0,0,0
3/22/2016,19,0,0,0,0
3/22/2016,20,0,0,0,0
3/22/2016,21,0,0,0,0
3/23/2016,1,0,0,0,0
3/23/2016,2,0,0,0,0
3/23/2016,3,0,0,0,0
3/23/2016,4,0,0,0,0
3/23/2016,5,0,0,0,0
3/23/2016,6,0,0,0,0
3/23/2016,7,0,0,0,0
3/23/2016,8,0,0,0,0
3/23/2016,9,0,0,0,0
3/23/2016,10,0,0,0,0
3/23/2016,11,0,0,0,0
3/23/2016,18,0,0,0,0
3/23/2016,19,0,0,0,0
3/23/2016,20,0,0,0,0
3/23/2016,21,0,0,0,0
3/24/2016,1,1,0,0,0
3/24/2016,2,0,1,0,0
3/24/2016,3,0,0,0,0
3/24/2016,4,0,0,0,0
3/24/2016,5,0,0,0,0
3/24/2016,6,0,0,0,0
3/24/2016,7,0,0,0,0
3/24/2016,8,0,0,0,0
3/24/2016,9,1,1,0,0
3/24/2016,10,3,2,0,0
3/24/2016,11,0,0,0,0
3/24/2016,18,0,1,0,0
3/24/2016,19,1,1,0,0
3/24/2016,20,1,2,0,0
3/24/2016,21,0,0,0,0
3/25/2016,1,0,0,0,0
3/25/2016,2,0,0,0,0
3/25/2016,3,0,1,3,0
3/25/2016,4,0,4,0,0
3/25/2016,5,0,0,0,0
3/25/2016,6,0,0,0,0
3/25/2016,7,0,0,0,0
3/25/2016,8,0,0,0,0
3/25/2016,9,4,4,2,0
3/25/2016,10,5,5,6,0
3/25/2016,11,2,7,1,0
3/25/2016,18,2,6,5,0
3/25/2016,19,23,1,14,0
3/25/2016,20,0,1,0,0
3/25/2016,21,3,3,7,3
3/26/2016,1,1,0,0,0
3/26/2016,2,0,0,0,0
3/26/2016,3,0,0,0,0
3/26/2016,4,0,2,0,0
3/26/2016,5,0,0,0,0
3/26/2016,6,0,2,3,0
3/26/2016,7,0,0,0,0
3/26/2016,8,0,0,0,0
3/26/2016,9,0,0,1,0
3/26/2016,10,0,0,1,0
3/26/2016,11,2,0,0,0
3/26/2016,18,1,0,0,0
3/26/2016,19,2,0,1,0
3/26/2016,20,1,0,0,3
3/26/2016,21,0,0,1,1
3/27/2016,1,0,0,0,0
3/27/2016,2,0,0,0,0
3/27/2016,3,0,0,0,0
3/27/2016,4,0,0,0,0
3/27/2016,5,0,0,0,0
3/27/2016,6,0,0,0,0
3/27/2016,7,0,0,0,0
3/27/2016,8,0,0,0,0
3/27/2016,9,0,0,0,0
3/27/2016,10,0,0,0,0
3/27/2016,11,0,0,0,0
3/27/2016,18,0,1,0,0
3/27/2016,19,0,0,0,0
3/27/2016,20,0,0,0,0
3/27/2016,21,0,0,0,0
3/28/2016,1,0,0,0,0
3/28/2016,2,0,0,0,0
3/28/2016,3,0,0,0,0
3/28/2016,4,0,0,0,0
3/28/2016,5,0,0,0,1
3/28/2016,6,0,0,1,0
3/28/2016,7,0,0,0,0
3/28/2016,8,0,0,0,0
3/28/2016,9,0,0,1,1
3/28/2016,10,0,1,2,0
3/28/2016,11,1,0,1,0
3/28/2016,18,1,1,2,1
3/28/2016,19,1,1,0,1
3/28/2016,20,0,1,0,1
3/28/2016,21,1,0,0,3
3/29/2016,1,0,0,0,0
3/29/2016,2,1,0,0,0
3/29/2016,3,0,0,1,0
3/29/2016,4,0,0,0,0
3/29/2016,5,0,0,0,0
3/29/2016,6,2,0,0,0
3/29/2016,7,1,0,1,0
3/29/2016,8,0,0,0,0
3/29/2016,9,3,1,0,0
3/29/2016,10,0,0,0,0
3/29/2016,11,0,0,0,0
3/29/2016,18,18,2,2,0
3/29/2016,19,5,2,2,1
3/29/2016,20,1,0,0,0
3/29/2016,21,2,0,2,0
3/30/2016,1,0,0,0,0
3/30/2016,2,0,0,0,0
3/30/2016,3,0,0,0,0
3/30/2016,4,0,2,0,0
3/30/2016,5,0,0,0,0
3/30/2016,6,0,0,0,0
3/30/2016,7,0,0,0,0
3/30/2016,8,0,0,0,0
3/30/2016,9,0,0,0,0
3/30/2016,10,0,0,0,0
3/30/2016,11,0,0,0,0
3/30/2016,18,0,0,0,0
3/30/2016,19,0,0,0,0
3/30/2016,20,0,0,0,0
3/30/2016,21,0,0,0,0
3/31/2016,1,0,0,0,0
3/31/2016,2,0,0,0,0
3/31/2016,3,0,0,0,0
3/31/2016,4,0,0,0,0
3/31/2016,5,0,0,0,0
3/31/2016,6,0,0,0,0
3/31/2016,7,0,0,0,0
3/31/2016,8,0,0,0,0
3/31/2016,9,0,0,0,0
3/31/2016,10,0,0,0,0
3/31/2016,11,0,0,0,0
3/31/2016,18,0,0,0,0
3/31/2016,19,0,0,0,0
3/31/2016,20,0,0,0,0
3/31/2016,21,0,0,0,0
4/1/2016,1,0,0,1,0
4/1/2016,2,0,0,2,0
4/1/2016,3,2,0,6,0
4/1/2016,4,1,1,3,0
4/1/2016,5,0,0,0,1
4/1/2016,6,0,0,5,0
4/1/2016,7,0,0,0,0
4/1/2016,8,0,0,0,0
4/1/2016,9,0,0,11,0
4/1/2016,10,0,0,5,0
4/1/2016,11,0,0,3,0
4/1/2016,18,1,3,17,2
4/1/2016,19,3,0,8,1
4/1/2016,20,0,0,3,0
4/1/2016,21,1,0,13,0
4/2/2016,1,0,0,0,0
4/2/2016,2,0,1,0,0
4/2/2016,3,1,0,0,0
4/2/2016,4,0,0,2,0
4/2/2016,5,0,0,0,0
4/2/2016,6,0,0,3,0
4/2/2016,7,0,0,0,0
4/2/2016,8,0,0,0,0
4/2/2016,9,0,1,2,0
4/2/2016,10,1,0,2,2
4/2/2016,11,0,0,0,0
4/2/2016,18,5,1,2,8
4/2/2016,19,1,0,0,1
4/2/2016,20,0,0,1,4
4/2/2016,21,0,0,0,2
4/3/2016,1,0,0,0,0
4/3/2016,2,0,0,0,0
4/3/2016,3,0,0,0,0
4/3/2016,4,0,0,0,0
4/3/2016,5,0,0,0,0
4/3/2016,6,0,0,0,0
4/3/2016,7,0,0,0,0
4/3/2016,8,0,0,0,0
4/3/2016,9,0,0,0,0
